symbol,horizon,model,qlike,mse,n_obs
SPY,1,"GARCH(1,1)",-8.761819675173374,3.1335935913770942e-09,286
SPY,1,HAR-RV,-8.79716836339432,2.8104882160083178e-09,286
SPY,1,Lasso,-8.82723405528866,5.958440686013372e-09,286
SPY,1,Ridge,-8.826792669016415,6.2964175916474715e-09,286
SPY,1,XGBoost,-8.691949744278743,3.968296986604838e-09,286
SPY,5,"GARCH(1,1)",-8.747247442237157,1.7716980550743866e-09,286
SPY,5,HAR-RV,-8.769862124942899,1.6963587689562048e-09,286
SPY,5,Lasso,-8.800790846307885,2.371763547335997e-09,286
SPY,5,Ridge,-8.796700844118945,2.2991941461295486e-09,286
SPY,5,XGBoost,-8.696551357124848,2.424290788458015e-09,286
